代码,名称,信号,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文
600802,福建水泥,买入,8.78,3.78,5.24,5.7,54.04,0.21,强多
000893,亚钾国际,买入,47.92,0.69,32.42,33.38,43.56,2.64,强多
000571,新大洲A,买入,7.01,10.05,4.74,6.2,13.06,0.53,强多
601377,兴业证券,买入,7.92,10.0,6.26,7.14,10.92,0.12,强多
600163,中闽能源,买入,6.11,0.66,5.3,5.51,10.89,0.02,强多
600105,永鼎股份,买入,18.32,7.01,9.58,16.68,9.83,1.42,强多
000901,航天科技,买入,23.35,9.99,14.3,21.82,7.01,0.35,强多
603668,天马科技,买入,17.68,8.53,13.58,16.68,6.0,0.99,强多
002093,国脉科技,买入,14.29,9.08,11.56,13.5,5.85,0.81,强多
600118,中国卫星,买入,49.58,2.63,31.7,46.98,5.53,0.87,强多
001311,多利科技,买入,28.99,4.54,22.55,27.58,5.11,0.94,强多
603698,航天工程,买入,23.67,9.99,17.9,22.56,4.92,1.18,强多
002164,宁波东力,买入,15.05,10.01,10.43,14.39,4.59,0.85,强多
603023,威帝股份,买入,4.91,9.11,3.79,4.81,2.08,0.07,强多
601601,中国太保,买入,38.33,1.91,34.6,38.3,0.08,0.28,强多
