代码,名称,得分,突破趋势,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文,信号
603667,五洲新春,2,低-低-高,54.05,0.15,40.16,49.36,9.5,3.08,强多,买入
002967,广电计量,2,低-低-高,23.36,6.57,18.94,21.72,7.55,1.12,强多,买入
002105,信隆健康,2,低-低-高,8.51,9.95,7.64,7.94,7.18,0.25,强多,买入
603668,天马科技,2,低-低-高,17.84,2.94,13.61,16.68,6.95,1.17,强多,买入
002217,合力泰,2,低-低-高,3.75,9.01,2.67,3.67,2.18,0.13,强多,买入
002725,跃岭股份,2,低-低-高,17.52,9.98,13.44,17.19,1.92,1.28,强多,买入
002943,宇晶股份,2,低-低-高,37.44,3.6,28.9,36.8,1.74,0.21,强多,买入
002268,电科网安,2,低-低-高,18.72,0.97,17.18,18.65,0.38,0.54,强多,买入
002512,达华智能,0,高-高-高,7.84,9.96,4.74,4.27,83.61,0.77,强多,买入
002752,昇兴股份,0,高-高-高,8.7,9.99,5.7,5.98,45.48,0.64,强多,买入
600163,中闽能源,0,高-高-高,6.27,3.29,5.31,5.51,13.79,0.12,强多,买入
603223,恒通股份,0,高-高-高,11.41,0.62,9.68,11.27,1.24,0.39,强多,买入
