日期,代码,当前价,涨幅%,EMA200,ADX,建议止损价
2025-12-19,001226,43.79,1.3,33.36,51.62,40.13
2025-12-19,001379,25.62,10.0,21.28,21.32,21.76
2025-12-19,002361,8.17,9.96,6.42,37.36,7.11
2025-12-19,002491,7.16,9.98,5.26,43.14,5.81
2025-12-19,002772,14.66,2.59,9.15,26.63,12.9
2025-12-19,002842,12.65,4.89,9.4,32.02,11.17
2025-12-19,002927,19.82,2.96,15.5,32.83,17.58
2025-12-19,600258,17.12,2.95,14.51,28.41,15.7
2025-12-19,600391,31.36,10.0,26.43,25.98,26.87
2025-12-19,600628,9.11,2.47,7.54,25.95,8.32
2025-12-19,600721,11.33,7.8,8.26,42.4,9.62
2025-12-19,600858,6.86,4.89,5.59,32.24,5.96
2025-12-19,600970,10.28,0.88,9.09,20.3,9.75
2025-12-19,603101,10.9,2.35,8.92,23.67,9.46
2025-12-19,603212,14.67,4.79,11.28,21.97,13.1
