日期,代码,名称,当前价,涨幅(%),EMA200,建议止损价,绿线,红线,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-19,000006,深振业Ａ,9.78,2.41,8.05,8.79,-55.62,-56.43,1.71,-1415.19,132.03,132.03,33.61
2025-12-19,000011,深物业A,9.17,2.69,8.99,8.48,-58.59,-62.5,1.17,127.21,54.65,48.28,4.92
2025-12-19,000590,启迪药业,11.07,0.54,10.81,10.45,-61.9,-66.87,0.8,-134.15,26.51,26.5,55.7
2025-12-19,000718,苏宁环球,2.35,2.62,2.33,2.15,-55.6,-58.37,2.56,53.39,71.31,53.63,2.62
2025-12-19,000828,东莞控股,10.87,1.02,10.78,10.54,-57.41,-59.33,0.4,10.14,113.0,113.0,6.36
2025-12-19,000831,中国稀土,45.15,2.99,41.7,41.61,-60.24,-62.45,2.9,186.99,479.14,479.14,60.96
2025-12-19,002060,广东建工,3.67,2.51,3.62,3.47,-57.99,-58.68,1.37,18.51,137.79,57.36,4.26
2025-12-19,002067,景兴纸业,5.15,2.18,4.65,4.72,-65.58,-67.47,3.27,139.41,75.95,68.89,30.05
2025-12-19,002145,钛能化学,4.87,3.62,4.69,4.45,-53.46,-55.86,1.56,43.99,185.38,181.6,15.4
2025-12-19,002148,北纬科技,8.48,1.19,8.29,8.06,-64.32,-66.79,1.93,-12910.06,47.4,38.1,28.68
2025-12-19,002161,远 望 谷,7.16,1.7,6.99,6.78,-55.33,-59.61,1.39,27.45,52.97,50.46,28.78
2025-12-19,002168,*ST惠程,3.51,0.57,3.46,3.31,-68.94,-69.26,0.31,-47.77,27.52,27.52,26.71
2025-12-19,002190,成飞集成,35.99,0.87,33.72,33.8,-66.73,-68.05,1.63,-280.55,129.11,129.11,86.09
2025-12-19,002195,岩山科技,6.73,1.51,6.39,6.35,-57.23,-60.1,1.91,156.78,381.63,376.96,69.52
2025-12-19,002259,升达林业,3.87,2.38,3.8,3.6,-54.05,-56.95,0.91,111.47,29.12,29.12,62.61
