日期,代码,名称,当前价,涨幅(%),EMA200,ADX,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-22,000523,红棉股份,4.1,9.92,3.33,27.11,3.59,10.7,86.44,75.25,54.33,34.43
2025-12-22,002064,华峰化学,10.53,1.74,7.89,23.17,9.78,1.06,26.82,522.56,521.09,31.95
2025-12-22,002104,恒宝股份,20.45,2.87,16.68,21.58,18.67,16.41,291.28,144.85,122.64,206.14
2025-12-22,002383,合众思壮,10.91,3.71,9.39,37.29,9.97,11.18,772.8,80.77,80.77,38.45
2025-12-22,002394,联发股份,14.56,5.74,9.76,35.74,12.91,6.32,13.41,47.13,47.07,96.23
2025-12-22,002405,四维图新,9.02,1.23,8.73,22.53,8.59,4.77,-22.64,213.83,212.5,-6.43
2025-12-22,600298,安琪酵母,45.6,2.27,37.3,23.62,42.41,2.24,26.59,395.83,390.86,28.45
2025-12-22,600459,贵研铂业,19.97,6.51,15.49,26.38,17.78,9.21,22.73,151.73,151.71,48.04
2025-12-22,600733,北汽蓝谷,8.33,1.46,7.96,25.48,7.86,6.03,-10.16,464.27,407.48,4.13
2025-12-22,601133,柏诚股份,16.23,6.01,12.34,39.08,14.08,22.06,48.34,85.7,24.25,47.41
2025-12-22,601336,新华保险,71.6,0.62,58.64,22.55,67.16,0.85,5.1,2233.6,1493.17,52.21
2025-12-22,603390,通达电气,13.23,0.99,12.42,28.12,12.44,5.58,63.57,46.52,46.37,21.49
2025-12-22,603828,ST柯利达,8.43,4.98,5.38,36.06,7.68,1.28,-38.12,50.24,50.24,190.69
