日期,代码,当前价,涨幅(%),建议止损价,FVG
2025-09-17,000008,3.0,0.0,2.87,bull
2025-09-17,000004,11.31,0.35,10.51,bull
2025-09-17,000026,17.81,-0.39,16.27,bull
2025-09-17,000014,16.3,-0.73,14.8,bull
2025-09-17,000157,7.71,4.76,7.14,bull
2025-09-17,000415,3.83,2.68,3.54,bull
2025-09-17,000428,3.88,-3.48,3.63,bull
2025-09-17,000509,3.28,-1.5,3.1,bull
2025-09-17,000521,7.59,1.34,7.18,bull
2025-09-17,000548,5.54,-0.18,5.35,bull
2025-09-17,000559,10.47,9.98,9.56,bull
2025-09-17,000563,3.89,4.57,3.54,bull
2025-09-17,000564,2.96,1.02,2.67,bull
2025-09-17,000608,2.1,2.94,1.96,bull
2025-09-17,000610,14.06,-0.71,13.37,bull
2025-09-17,000631,3.29,-0.6,3.11,bull
2025-09-17,000632,4.08,-1.45,3.87,bull
2025-09-17,000636,15.79,1.22,14.7,bull
2025-09-17,000650,6.62,-1.63,6.28,bull
2025-09-17,000691,8.61,5.0,8.05,bull
2025-09-17,000700,12.41,10.02,10.43,bull
2025-09-17,000755,4.97,0.4,4.8,bull
2025-09-17,000812,4.98,0.4,4.7,bull
2025-09-17,000829,9.89,1.33,9.36,bull
2025-09-17,000837,15.73,5.78,13.77,bull
2025-09-17,000848,8.72,-0.46,8.51,bull
2025-09-17,000887,26.12,6.83,22.6,bull
2025-09-17,000888,14.76,0.41,13.93,bull
2025-09-17,000949,4.33,-1.37,4.14,bull
2025-09-17,000955,5.07,-0.39,4.81,bull
2025-09-17,000967,7.38,3.8,6.64,bull
2025-09-17,000981,3.7,10.12,3.18,bull
2025-09-17,000997,28.92,1.8,26.7,bull
2025-09-17,001206,30.44,0.13,27.6,bull
2025-09-17,001209,19.06,-0.68,18.19,bull
2025-09-17,001230,24.31,-1.9,22.93,bull
2025-09-17,001234,33.18,10.01,30.98,bull
2025-09-17,001236,12.14,1.17,11.21,bull
2025-09-17,001239,17.21,-0.17,16.61,bull
2025-09-17,001266,31.45,1.35,29.33,bull
2025-09-17,001259,26.29,-0.11,24.88,bull
