日期,代码,当前价,连续亮红天数,今日深红值,形态描述
2025-12-10,000056,2.37,10,-0.0995,检测到连续 10 天亮红挤压增长后，首日转深红
2025-12-10,000506,12.35,5,-0.1115,检测到连续 5 天亮红挤压增长后，首日转深红
2025-12-10,000595,5.73,6,-0.2446,检测到连续 6 天亮红挤压增长后，首日转深红
2025-12-10,000713,6.95,9,-0.1353,检测到连续 9 天亮红挤压增长后，首日转深红
2025-12-10,000921,26.06,8,-0.314,检测到连续 8 天亮红挤压增长后，首日转深红
2025-12-10,001228,26.44,11,-1.5093,检测到连续 11 天亮红挤压增长后，首日转深红
2025-12-10,002041,9.59,8,-0.2101,检测到连续 8 天亮红挤压增长后，首日转深红
2025-12-10,002047,4.0,6,-0.2661,检测到连续 6 天亮红挤压增长后，首日转深红
2025-12-10,002127,3.58,6,-0.0896,检测到连续 6 天亮红挤压增长后，首日转深红
2025-12-10,002154,4.1,7,-0.1719,检测到连续 7 天亮红挤压增长后，首日转深红
2025-12-10,002394,13.0,5,-0.2235,检测到连续 5 天亮红挤压增长后，首日转深红
2025-12-10,002739,11.49,6,-0.304,检测到连续 6 天亮红挤压增长后，首日转深红
2025-12-10,002946,16.71,10,-0.8159,检测到连续 10 天亮红挤压增长后，首日转深红
2025-12-10,600130,4.16,6,-0.2088,检测到连续 6 天亮红挤压增长后，首日转深红
2025-12-09,600165,4.04,7,-0.1418,检测到连续 7 天亮红挤压增长后，首日转深红
2025-12-10,600665,3.64,9,-0.0614,检测到连续 9 天亮红挤压增长后，首日转深红
2025-12-10,601019,8.51,7,-0.1772,检测到连续 7 天亮红挤压增长后，首日转深红
2025-12-10,603001,8.98,5,-0.3818,检测到连续 5 天亮红挤压增长后，首日转深红
2025-12-10,603055,9.15,8,-0.1173,检测到连续 8 天亮红挤压增长后，首日转深红
2025-12-10,603281,27.85,7,-0.8986,检测到连续 7 天亮红挤压增长后，首日转深红
2025-12-10,603801,9.29,9,-0.1821,检测到连续 9 天亮红挤压增长后，首日转深红
2025-12-10,603919,20.15,7,-0.8722,检测到连续 7 天亮红挤压增长后，首日转深红
2025-12-10,605099,37.35,5,-0.6506,检测到连续 5 天亮红挤压增长后，首日转深红
