日期,代码,名称,当前价,连续亮红天数,今日深红值,形态描述,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-22,000065,北方国际,12.49,4,-0.2975,检测到连续 4 天亮红挤压增长后，首日转深红,1.27,20.39,131.78,119.92,27.73
2025-12-22,000566,海南海药,7.96,5,-0.9096,检测到连续 5 天亮红挤压增长后，首日转深红,29.43,-35.18,113.65,102.13,82.88
2025-12-22,000928,中钢国际,6.55,4,-0.0923,检测到连续 4 天亮红挤压增长后，首日转深红,1.19,12.68,93.97,93.97,7.91
2025-12-22,001229,魅视科技,37.71,8,-2.7327,检测到连续 8 天亮红挤压增长后，首日转深红,1.68,71.13,38.12,19.6,5.92
2025-12-22,002203,海亮股份,12.4,5,-0.4619,检测到连续 5 天亮红挤压增长后，首日转深红,1.19,23.16,285.55,275.63,18.89
2025-12-22,002745,木林森,9.51,5,-0.2286,检测到连续 5 天亮红挤压增长后，首日转深红,3.29,49.43,137.88,98.91,7.15
2025-12-22,002896,中大力德,84.0,5,-1.9172,检测到连续 5 天亮红挤压增长后，首日转深红,3.34,211.13,161.05,161.05,179.22
2025-12-22,002972,科安达,12.15,6,-0.3646,检测到连续 6 天亮红挤压增长后，首日转深红,4.63,37.86,30.31,16.59,21.98
2025-12-22,603289,泰瑞机器,9.91,4,-0.0865,检测到连续 4 天亮红挤压增长后，首日转深红,1.09,32.7,28.9,28.9,21.6
2025-12-22,603325,博隆技术,78.0,7,-1.3506,检测到连续 7 天亮红挤压增长后，首日转深红,0.99,14.48,62.17,26.56,19.92
