日期,代码,名称,当前价,连续亮红天数,今日深红值,形态描述,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-25,002075,沙钢股份,5.73,6,-0.2176,检测到连续 6 天亮红挤压增长后，首日转深红,1.21,40.8,125.71,125.71,-7.73
2025-12-25,002162,悦心健康,4.98,8,-0.3473,检测到连续 8 天亮红挤压增长后，首日转深红,5.06,1113.71,45.8,45.74,43.93
2025-12-25,002301,齐心集团,7.8,7,-0.4853,检测到连续 7 天亮红挤压增长后，首日转深红,5.94,30.05,56.26,56.0,11.91
2025-12-25,002356,赫美集团,4.22,6,-0.4172,检测到连续 6 天亮红挤压增长后，首日转深红,9.65,80.2,55.33,55.33,28.27
2025-12-25,002495,佳隆股份,2.79,10,-0.2128,检测到连续 10 天亮红挤压增长后，首日转深红,3.43,175.72,26.1,19.55,10.28
2025-12-25,002799,环球印务,8.88,11,-0.5465,检测到连续 11 天亮红挤压增长后，首日转深红,3.33,-106.24,28.42,28.42,17.15
2025-12-25,002850,科达利,156.6,6,-3.2061,检测到连续 6 天亮红挤压增长后，首日转深红,2.18,27.14,428.73,308.66,63.67
2025-12-25,002856,美芝股份,11.83,9,-0.8949,检测到连续 9 天亮红挤压增长后，首日转深红,4.25,-27.13,16.01,14.66,28.31
2025-12-25,002892,科力尔,13.05,6,-0.0898,检测到连续 6 天亮红挤压增长后，首日转深红,3.47,160.73,97.13,63.05,2.03
2025-12-25,600768,宁波富邦,13.48,5,-0.1628,检测到连续 5 天亮红挤压增长后，首日转深红,2.09,83.79,18.03,18.03,60.1
2025-12-25,601113,华鼎股份,4.47,9,-0.209,检测到连续 9 天亮红挤压增长后，首日转深红,1.59,19.72,49.36,49.36,14.62
2025-12-25,603738,泰晶科技,15.83,7,-1.0073,检测到连续 7 天亮红挤压增长后，首日转深红,3.46,130.81,61.09,61.09,6.24
2025-12-25,603950,长源东谷,29.84,9,-1.006,检测到连续 9 天亮红挤压增长后，首日转深红,0.75,26.47,96.72,96.56,71.59
