日期,代码,名称,当前价,涨幅(%),得分,突破趋势,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-09,002105,信隆健康,8.51,9.95,1,低-高-高,7.64,7.49,7.36,5.78,-71.64,28.79,28.65,57.52
2025-12-09,002217,合力泰,3.78,9.88,3,低-低-低,2.67,3.67,3.13,1.97,982.68,233.36,177.23,30.54
2025-12-09,002268,电科网安,18.72,0.97,3,低-低-低,17.18,18.65,17.63,2.38,-54.95,156.27,156.21,14.14
2025-12-09,002512,达华智能,7.84,9.96,0,高-高-高,4.74,4.27,6.73,14.25,-49.72,67.97,66.87,28.9
2025-12-09,002725,跃岭股份,17.52,9.98,3,低-低-低,13.44,17.19,14.95,7.25,168.51,44.44,36.81,61.79
2025-12-09,002752,昇兴股份,8.7,9.99,0,高-高-高,5.7,5.98,8.06,11.95,27.1,78.25,78.24,28.16
2025-12-08,002853,皮阿诺,16.24,10.03,0,高-高-高,13.4,12.74,13.98,17.02,-370.81,37.21,26.18,85.41
2025-12-09,002943,宇晶股份,37.35,3.35,3,低-低-低,28.9,36.8,33.82,3.28,244.71,73.74,47.54,80.9
2025-12-09,002967,广电计量,23.28,6.2,2,低-低-高,18.94,21.72,20.46,3.23,40.53,129.05,121.36,39.45
2025-12-09,600163,中闽能源,6.22,2.47,3,低-低-低,5.31,6.09,5.61,1.79,25.85,113.04,113.04,-1.16
2025-12-09,600573,惠泉啤酒,14.17,10.02,1,低-高-高,11.76,12.58,11.81,9.64,24.69,32.45,32.45,16.1
2025-12-09,603668,天马科技,17.85,3.0,2,低-低-高,13.61,16.68,15.73,3.52,87.87,82.93,82.93,28.73
