日期,代码,当前价,涨幅(%),EMA200,建议止损价,绿线,红线
2025-12-02,000498,6.02,0.17,5.92,5.84,-38.64,-39.36
2025-12-02,000778,4.02,0.5,3.82,3.82,-34.36,-35.58
2025-12-02,002210,3.98,6.13,3.22,3.31,-35.15,-36.9
2025-12-02,002215,11.25,0.45,11.06,10.4,-36.66,-38.32
2025-12-02,002376,7.55,0.4,7.39,7.22,-39.11,-41.32
2025-12-02,002735,14.95,1.56,14.31,13.7,-39.0,-41.89
2025-12-02,003013,15.25,0.39,15.03,14.62,-33.69,-35.18
2025-12-02,003816,3.8,0.26,3.78,3.67,-37.36,-37.86
2025-12-02,600121,4.55,0.89,4.33,4.1,-36.2,-37.49
2025-12-02,600381,4.65,4.97,4.46,4.43,-43.5,-50.07
2025-12-02,600551,8.66,0.12,8.55,8.26,-35.7,-36.69
2025-12-02,600662,5.28,0.38,5.2,5.1,-32.92,-35.52
2025-12-02,600928,3.9,0.52,3.83,3.73,-39.6,-41.25
2025-12-02,601101,7.46,0.81,7.43,7.14,-32.14,-32.48
2025-12-02,601326,3.57,0.56,3.39,3.4,-36.43,-39.3
2025-12-02,603306,47.39,0.38,43.18,43.43,-33.61,-35.41
