日期,回测,代码,当前价,涨幅(%),综合得分,信号强度,动能衰减,资金承接,结构间隔,破位幅度,左波峰,右波峰
2025-12-01,,000030,5.56,1.46,80,强烈做多,【≥2.0】2.14 → 恐慌充分释放,【0.5–2.0】1.74 → 资金承接,【>25】48 → 结构偏老,【0–2%】1.45% → 诱空假破位,"{'日期': '2025-09-15', '价格': 5.51, '动能值': -0.4088, 'obv': 373145502}","{'日期': '2025-11-28', '价格': 5.43, '动能值': -0.1908, 'obv': 392811280}"
2025-12-01,,000062,26.01,1.56,70,谨慎做多,【1.5–2.0】1.82 → 下跌明显衰竭,【≥2.0】6.27 → 强力吸筹,【>25】27 → 结构偏老,【>5%】5.52% → 深度破位（风险）,"{'日期': '2025-10-22', '价格': 26.79, '动能值': -1.9333, 'obv': 2908556630}","{'日期': '2025-11-28', '价格': 25.31, '动能值': -1.0625, 'obv': 2987372329}"
2025-12-01,,000066,15.07,0.47,50,谨慎做多,【1.2–1.5】1.32 → 下跌开始衰竭,【≥2.0】2.93 → 强力吸筹,【>25】45 → 结构偏老,【>5%】9.68% → 深度破位（风险）,"{'日期': '2025-09-18', '价格': 16.32, '动能值': -1.6515, 'obv': 5996175299}","{'日期': '2025-11-28', '价格': 14.74, '动能值': -1.2537, 'obv': 6271688623}"
2025-12-01,,000100,4.2,2.69,30,谨慎做多,【1.2–1.5】1.37 → 下跌开始衰竭,【-0.5–0.5】-0.11 → 资金观望,【>25】46 → 结构偏老,【>5%】6.47% → 深度破位（风险）,"{'日期': '2025-09-17', '价格': 4.33, '动能值': -0.2552, 'obv': 1544811666}","{'日期': '2025-11-28', '价格': 4.05, '动能值': -0.1859, 'obv': 1503345108}"
2025-12-01,,000404,6.9,1.17,30,谨慎做多,【1.2–1.5】1.36 → 下跌开始衰竭,【<-0.5】-4.25 → 资金流出,【>25】47 → 结构偏老,【>5%】6.0% → 深度破位（风险）,"{'日期': '2025-09-16', '价格': 7.17, '动能值': -0.3111, 'obv': 799775428}","{'日期': '2025-11-28', '价格': 6.74, '动能值': -0.2283, 'obv': 745128715}"
2025-12-01,,000532,14.36,0.35,70,谨慎做多,【≥2.0】2.08 → 恐慌充分释放,【0.5–2.0】0.63 → 资金承接,【>25】48 → 结构偏老,【>5%】5.34% → 深度破位（风险）,"{'日期': '2025-09-15', '价格': 14.79, '动能值': -1.0495, 'obv': 1329531500}","{'日期': '2025-11-28', '价格': 14.0, '动能值': -0.5037, 'obv': 1332791730}"
2025-12-01,,000561,11.1,2.02,40,谨慎做多,【≥2.0】4.99 → 恐慌充分释放,【<-0.5】-1.84 → 资金流出,【>25】49 → 结构偏老,【>5%】6.19% → 深度破位（风险）,"{'日期': '2025-09-12', '价格': 11.3, '动能值': -2.691, 'obv': 1142023362}","{'日期': '2025-11-28', '价格': 10.6, '动能值': -0.5395, 'obv': 1103882788}"
2025-12-01,,000601,5.13,3.01,60,谨慎做多,【≥2.0】2.37 → 恐慌充分释放,【0.5–2.0】1.6 → 资金承接,【>25】78 → 结构偏老,【>5%】6.31% → 深度破位（风险）,"{'日期': '2025-08-04', '价格': 5.23, '动能值': -0.6987, 'obv': 1103791465}","{'日期': '2025-11-28', '价格': 4.9, '动能值': -0.2951, 'obv': 1140993340}"
2025-12-01,,000650,6.0,0.5,50,谨慎做多,【1.2–1.5】1.35 → 下跌开始衰竭,【-0.5–0.5】-0.09 → 资金观望,【>25】34 → 结构偏老,【0–2%】1.33% → 诱空假破位,"{'日期': '2025-10-13', '价格': 6.0, '动能值': -0.3449, 'obv': 112034842}","{'日期': '2025-11-28', '价格': 5.92, '动能值': -0.2554, 'obv': 110208576}"
2025-12-01,,000670,7.8,2.63,60,谨慎做多,【1.5–2.0】1.63 → 下跌明显衰竭,【≥2.0】2.84 → 强力吸筹,【>25】42 → 结构偏老,【>5%】8.28% → 深度破位（风险）,"{'日期': '2025-09-23', '价格': 8.21, '动能值': -0.6722, 'obv': 2753890034}","{'日期': '2025-11-28', '价格': 7.53, '动能值': -0.4128, 'obv': 2849587379}"
