日期,代码,当前价,涨幅(%),得分,突破趋势,EMA200,前高,建议止损价
2025-12-26,000830,16.81,0.84,3,低-低-低,12.47,16.78,15.52
2025-12-26,002009,19.36,10.0,3,低-低-低,16.17,18.88,18.33
2025-12-26,002652,4.42,9.95,3,低-低-低,3.42,4.18,3.85
2025-12-26,002738,80.22,8.04,2,低-高-低,41.92,75.0,70.5
2025-12-26,002956,27.08,1.27,2,低-低-高,21.28,26.5,24.87
2025-12-26,600346,21.27,2.56,3,低-低-低,16.21,20.98,19.67
2025-12-26,600966,6.88,1.03,2,低-低-高,4.98,6.49,6.28
2025-12-26,603016,28.8,0.35,1,低-高-高,27.99,27.3,27.29
2025-12-26,603270,25.76,2.1,3,低-低-低,25.53,25.57,23.89
2025-12-26,603733,24.49,0.7,2,低-低-高,22.11,23.89,23.32
2025-12-26,605389,76.1,2.84,3,低-低-低,46.18,74.8,68.89
