日期,代码,当前价,涨幅(%),左波峰日期,右波峰日期,建议止损价
2025-12-15,000037,8.53,0.0,475,486,8.09
2025-12-15,000410,7.32,1.24,476,486,6.88
2025-12-15,000539,4.62,1.32,475,486,4.42
2025-12-15,000555,16.48,1.29,481,486,14.93
2025-12-15,000591,4.47,0.9,475,486,4.32
2025-12-15,000629,2.99,-0.33,476,486,2.84
2025-12-15,000709,2.28,1.79,476,486,2.14
2025-12-15,000723,4.8,1.91,476,486,4.47
2025-12-15,000883,4.59,0.22,474,486,4.5
2025-12-15,000898,2.47,0.82,476,486,2.35
2025-12-15,002053,12.21,10.0,476,486,10.47
2025-12-15,002145,4.82,-0.82,475,486,4.55
2025-12-15,002226,6.03,0.33,473,486,5.71
2025-12-15,002254,9.56,3.13,481,486,8.94
2025-12-15,002352,37.41,-0.05,481,486,36.41
2025-12-15,002493,9.45,1.18,475,486,8.81
2025-12-15,002588,9.47,0.42,475,486,9.03
2025-12-15,002911,12.27,0.99,475,486,11.58
2025-12-15,002926,9.44,0.11,481,486,9.08
2025-12-15,600010,2.38,-0.42,473,486,2.28
2025-12-15,600019,7.05,-1.95,475,486,6.81
2025-12-15,600116,6.38,-0.78,475,486,6.26
2025-12-15,600236,6.88,-0.86,473,486,6.58
2025-12-15,600295,11.37,5.18,476,486,10.31
2025-12-15,600339,3.31,0.61,475,486,3.17
2025-12-15,600399,5.72,10.0,480,485,5.04
2025-12-15,600500,3.83,-0.26,467,477,3.68
2025-12-15,600536,43.45,-0.57,475,486,41.4
2025-12-15,600579,8.47,-0.59,471,476,7.99
2025-12-15,600660,62.09,0.23,473,486,59.98
2025-12-15,600681,4.03,0.25,476,486,3.72
2025-12-15,600726,2.48,0.0,474,486,2.35
2025-12-15,600728,6.2,-1.12,472,486,5.91
2025-12-15,600739,11.4,1.15,476,486,10.87
2025-12-15,600740,3.81,0.26,474,486,3.61
2025-12-15,600888,7.77,0.0,475,486,7.35
2025-12-15,600900,28.04,0.0,475,486,27.6
2025-12-15,600928,3.73,0.27,475,486,3.58
2025-12-15,601033,15.06,0.0,445,458,14.63
2025-12-15,601216,4.73,-0.21,476,486,4.57
2025-12-15,601225,21.56,-1.37,475,486,20.67
2025-12-15,601801,6.54,0.0,476,486,6.34
2025-12-15,601880,1.61,0.63,474,486,1.54
2025-12-15,603020,9.82,0.41,473,486,9.35
2025-12-15,603128,5.85,0.17,473,486,5.71
2025-12-15,603165,12.44,0.48,475,486,11.85
2025-12-15,603227,8.18,0.62,472,484,7.86
2025-12-15,603299,10.0,0.0,476,486,9.65
2025-12-15,603318,6.82,4.44,475,486,6.39
2025-12-15,603556,34.94,1.45,474,486,32.46
2025-12-15,603566,12.63,-2.24,479,486,12.21
2025-12-15,603588,6.8,0.0,473,486,6.46
2025-12-15,603927,18.84,-0.84,473,486,18.0
2025-12-15,603955,30.33,5.09,469,482,27.03
2025-12-15,603966,10.82,-1.37,481,486,10.37
2025-12-15,605122,12.75,1.11,481,486,11.9
