日期,代码,名称,当前价,涨幅(%),左波峰日期,右波峰日期,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-11-03,000995,皇台酒业,13.68,0.74,2025-10-17,2025-10-30,12.99,7.05,-241.65,22.99,22.99,-21.45
2025-11-03,002059,云南旅游,5.44,1.49,2025-10-14,2025-10-30,5.09,1.97,-30.87,54.37,52.79,-0.37
2025-11-03,002154,报 喜 鸟,3.96,0.76,2025-10-17,2025-10-30,3.76,1.6,18.14,57.06,46.13,-10.32
2025-11-03,002191,劲嘉股份,4.49,0.67,2025-10-22,2025-10-30,4.22,1.52,33.06,63.59,63.09,4.29
2025-11-03,002510,天汽模,6.74,1.05,2025-10-20,2025-10-30,6.37,7.3,106.32,73.8,73.05,25.13
2025-11-03,002602,世纪华通,18.45,5.01,2025-10-20,2025-10-30,16.11,1.74,21.72,1261.86,1163.62,233.07
2025-11-03,002676,顺威股份,8.73,2.11,2025-10-14,2025-10-30,7.97,3.82,77.96,61.06,61.05,42.52
2025-11-03,002858,力盛体育,14.93,0.74,2025-10-17,2025-10-30,14.05,4.35,84.48,24.8,22.24,32.26
2025-11-03,002943,宇晶股份,35.28,3.4,2025-10-23,2025-10-30,31.72,4.76,249.48,75.18,48.47,84.43
2025-11-03,002953,日丰股份,13.51,2.5,2025-10-23,2025-10-30,12.04,2.86,30.74,56.97,24.65,16.37
2025-11-03,600276,恒瑞医药,63.4,-1.17,2025-10-17,2025-10-30,59.4,0.34,52.85,4052.67,3895.02,33.61
2025-11-03,600592,龙溪股份,23.62,0.17,2025-10-17,2025-10-30,21.75,18.57,68.51,106.84,106.84,174.54
2025-11-03,600611,大众交通,5.94,0.68,2025-10-21,2025-10-30,5.73,1.27,100.15,130.97,86.61,-19.12
2025-11-03,600657,信达地产,3.72,-0.53,2025-10-17,2025-10-30,3.53,0.44,-1.43,101.24,101.24,-14.66
2025-11-03,603138,海量数据,16.12,2.15,2025-10-20,2025-10-30,14.79,1.81,-41.26,41.49,40.71,-1.74
2025-11-03,603216,梦天家居,15.73,-0.57,2025-10-21,2025-10-30,14.43,2.83,114.27,85.78,85.78,261.35
2025-11-03,603439,三力制药,12.1,0.08,2025-10-14,2025-10-30,11.65,0.6,45.25,48.74,48.14,-5.85
2025-11-03,603529,爱玛科技,32.13,-1.65,2025-10-21,2025-10-30,30.93,0.43,10.28,261.35,254.86,-24.45
2025-11-03,603589,口子窖,32.45,0.09,2025-10-20,2025-10-30,31.43,0.49,18.58,183.86,183.86,-18.98
2025-11-03,603630,拉芳家化,23.23,2.15,2025-10-22,2025-10-30,21.04,0.84,269.8,45.18,45.18,46.53
2025-11-03,603637,镇海股份,11.05,-1.16,2025-10-20,2025-10-30,10.32,1.88,37.68,25.97,25.97,33.83
2025-11-03,603713,密尔克卫,58.8,-1.13,2025-10-17,2025-10-30,55.47,0.49,12.54,87.76,87.76,9.92
2025-11-03,603790,雅运股份,20.5,1.23,2025-10-17,2025-10-30,18.76,0.67,43.88,38.35,38.35,83.85
2025-11-03,603919,金徽酒,20.19,1.56,2025-09-24,2025-10-30,19.01,1.0,24.17,104.34,104.34,7.64
2025-11-03,605136,丽人丽妆,9.84,2.07,2025-10-14,2025-10-30,9.04,6.4,-91.52,44.53,44.53,28.85
2025-11-03,605288,凯迪股份,82.41,-1.73,2025-10-14,2025-10-30,73.58,1.13,157.68,60.32,59.91,154.02
