日期,代码,名称,当前价,涨幅(%),信号前6日颜色,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-02,000785,居然智家,3.06,-1.61,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:red | 前6日:green,2.91,1.64,36.0,191.17,181.06,-14.01
2025-12-02,000829,天音控股,11.49,1.14,前1日:lime | 前2日:green | 前3日:lime | 前4日:green | 前5日:lime | 前6日:lime,10.57,2.14,-142.12,108.35,108.25,-19.74
2025-12-02,000888,峨眉山Ａ,14.46,2.12,前1日:lime | 前2日:green | 前3日:green | 前4日:green | 前5日:green | 前6日:green,13.39,2.59,22.15,69.18,69.18,1.78
2025-12-02,000963,华东医药,42.55,-0.58,前1日:maroon | 前2日:maroon | 前3日:red | 前4日:green | 前5日:green | 前6日:green,40.98,0.27,19.01,696.35,696.09,17.91
2025-12-02,002233,塔牌集团,9.19,1.55,前1日:maroon | 前2日:red | 前3日:red | 前4日:red | 前5日:red | 前6日:green,8.7,0.91,13.88,108.74,108.66,26.14
2025-12-02,002353,杰瑞股份,59.92,-3.46,前1日:lime | 前2日:maroon | 前3日:red | 前4日:red | 前5日:red | 前6日:green,55.15,4.22,31.91,769.22,520.83,107.83
2025-12-02,002565,顺灏股份,9.71,9.97,前1日:lime | 前2日:lime | 前3日:red | 前4日:green | 前5日:green | 前6日:green,8.05,32.92,185.29,166.31,166.31,423.0
2025-12-02,002651,利君股份,12.33,3.96,前1日:lime | 前2日:red | 前3日:red | 前4日:maroon | 前5日:maroon | 前6日:maroon,11.28,4.63,103.77,120.6,65.99,60.52
2025-12-02,002659,凯文教育,6.35,-0.63,前1日:lime | 前2日:lime | 前3日:green | 前4日:lime | 前5日:lime | 前6日:red,5.85,1.87,2528.33,32.25,32.25,19.25
2025-12-02,002769,普路通,11.76,3.8,前1日:lime | 前2日:lime | 前3日:maroon | 前4日:red | 前5日:green | 前6日:green,10.47,16.74,95.84,45.99,45.95,76.76
2025-12-02,600461,洪城环境,9.96,2.15,前1日:maroon | 前2日:red | 前3日:red | 前4日:red | 前5日:red | 前6日:green,9.48,0.58,9.87,122.77,122.77,0.74
2025-12-02,600795,国电电力,5.72,0.53,前1日:lime | 前2日:maroon | 前3日:maroon | 前4日:red | 前5日:red | 前6日:red,5.47,0.8,11.41,1030.9,1030.9,32.27
2025-12-02,605089,味知香,29.18,0.41,前1日:lime | 前2日:lime | 前3日:red | 前4日:green | 前5日:green | 前6日:green,27.41,1.12,49.99,35.26,35.26,3.95
