日期,代码,名称,当前价,涨幅(%),得分,突破趋势,信号前6日颜色,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-11-06,000430,*ST张股,8.47,2.29,3,低-低-低,前1日:lime | 前2日:maroon | 前3日:maroon | 前4日:maroon | 前5日:maroon | 前6日:maroon,7.48,8.38,7.58,0.0,-107.09,31.98,26.21,27.42
2025-11-06,000533,顺钠股份,8.73,9.95,3,低-低-低,前1日:lime | 前2日:red | 前3日:red | 前4日:red | 前5日:red | 前6日:green,6.81,8.17,7.61,10.93,56.24,60.38,59.86,44.22
2025-11-06,000762,西藏矿业,28.5,6.74,0,高-高-高,前1日:lime | 前2日:green | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:green,21.11,24.52,24.84,5.76,-1491.04,143.49,143.48,28.44
2025-11-06,002136,安 纳 达,12.92,7.13,2,低-低-高,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:green | 前6日:green,10.51,11.88,11.3,12.62,-46.5,28.75,28.67,37.13
2025-11-06,002150,通润装备,23.5,3.25,2,低-低-高,前1日:lime | 前2日:lime | 前3日:lime | 前4日:maroon | 前5日:maroon | 前6日:red,13.32,21.89,20.21,6.64,41.12,74.95,74.47,68.86
2025-11-06,002166,莱茵生物,8.08,0.37,2,高-低-低,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:green | 前6日:green,7.82,8.08,7.79,5.75,72.38,67.93,67.77,24.29
2025-11-06,002170,芭田股份,12.42,10.01,3,低-低-低,前1日:lime | 前2日:green | 前3日:green | 前4日:lime | 前5日:green | 前6日:lime,9.82,11.3,10.64,4.41,12.95,118.64,96.19,47.89
2025-11-06,002284,亚太股份,13.82,0.22,0,高-高-高,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:lime,10.91,11.77,12.8,5.18,26.67,116.78,115.53,105.46
2025-11-06,002466,天齐锂业,55.14,1.6,0,高-高-高,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:lime,36.02,49.67,49.66,6.4,396.37,950.74,854.94,75.55
2025-11-06,002498,汉缆股份,4.05,1.5,0,高-高-高,前1日:lime | 前2日:lime | 前3日:lime | 前4日:green | 前5日:green | 前6日:lime,3.46,3.71,3.84,1.17,20.49,129.41,129.41,16.12
2025-11-06,002868,*ST绿康,30.25,5.0,3,低-低-低,前1日:lime | 前2日:lime | 前3日:lime | 前4日:green | 前5日:green | 前6日:lime,21.91,29.75,27.49,0.63,-48.11,52.98,52.51,70.71
2025-11-06,600218,全柴动力,10.85,10.04,3,低-低-低,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:maroon,8.9,10.17,9.45,4.53,51.41,47.57,47.57,39.29
2025-11-06,600483,福能股份,10.68,1.33,0,高-高-高,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:lime,9.34,10.25,10.08,0.43,10.42,276.35,276.35,3.65
2025-11-06,600966,博汇纸业,5.74,9.96,3,低-低-低,前1日:lime | 前2日:lime | 前3日:lime | 前4日:green | 前5日:green | 前6日:green,4.74,5.4,4.96,4.39,56.79,91.97,91.97,34.11
2025-11-06,601369,陕鼓动力,9.15,2.46,2,低-低-高,前1日:lime | 前2日:lime | 前3日:lime | 前4日:green | 前5日:green | 前6日:lime,8.26,8.86,8.64,1.14,22.25,183.21,181.37,28.54
2025-11-06,603516,淳中科技,226.93,10.0,0,高-高-高,前1日:lime | 前2日:lime | 前3日:maroon | 前4日:maroon | 前5日:maroon | 前6日:maroon,73.12,126.69,180.7,2.61,-1162.95,453.37,453.37,305.31
2025-11-06,603610,麒盛科技,19.76,0.41,2,低-低-高,前1日:maroon | 前2日:maroon | 前3日:maroon | 前4日:red | 前5日:red | 前6日:red,13.23,19.51,18.05,1.51,35.86,70.28,70.28,59.15
2025-11-06,605001,威奥股份,8.34,0.97,0,高-高-高,前1日:lime | 前2日:lime | 前3日:lime | 前4日:green | 前5日:lime | 前6日:green,7.05,8.06,7.89,1.52,35.39,29.62,29.62,19.3
