日期,代码,名称,当前价,涨幅(%),前1日,前2日,前3日,前4日,前5日,前6日,SQZ释放评分,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-11-03,000820,*ST节能,2.92,5.04,绿|亮,绿|暗,绿|暗,绿|亮,绿|亮,绿|亮,3.9,2.68,1.3,-194.64,21.72,9.98,-3.72
2025-11-03,000892,欢瑞世纪,7.85,9.94,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,6.74,5.17,-147.22,68.77,49.83,115.03
2025-11-03,002492,恒基达鑫,9.35,10.0,绿|亮,绿|亮,绿|亮,红|暗,红|亮,红|亮,6.9,8.06,4.33,47.0,33.09,32.5,70.56
2025-11-03,600288,大恒科技,16.97,6.66,绿|亮,绿|亮,绿|暗,绿|暗,绿|亮,绿|暗,3.7,14.72,2.08,72.2,66.18,66.18,77.4
2025-11-03,600358,ST联合,6.01,2.56,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,5.56,1.15,-70.95,30.04,30.04,63.01
2025-11-03,600710,苏美达,11.43,1.15,绿|亮,绿|亮,绿|暗,绿|暗,绿|亮,绿|暗,3.7,10.69,0.72,9.58,141.0,141.0,20.83
2025-11-03,601801,皖新传媒,6.84,2.09,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,6.54,0.33,10.08,128.44,128.44,-9.39
2025-11-03,603043,广州酒家,17.21,1.18,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,16.51,0.41,17.06,102.21,102.21,11.27
2025-11-03,603231,索宝蛋白,20.65,1.77,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,19.07,1.43,18.11,35.42,19.66,15.12
2025-11-03,603978,深圳新星,28.14,5.99,绿|亮,红|暗,红|暗,红|暗,红|暗,红|亮,15.4,23.45,14.11,-81.2,66.94,66.94,105.78
