核心数据,蓄能质量分析,逻辑判定细节,实战建议
"{'代码': '002081', '分析日期': '2025-12-26', '当前价': 3.62, '涨幅(%)': '10.03%', '形态综合评分': '★★'}","{'红色挤压天数': '8天', '绿色杂质天数': '0天', '回溯总长度': '39天', '区间涨跌幅(%)': '-3.24%', '能量池累加值': np.float64(-3.771), '单日平均动能': np.float64(-0.0967)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-10-31', '边界点状态': '前序多头释放终点 (Confirmed)'}",【标准形态】回踩洗盘后的正常转势信号
"{'代码': '002407', '分析日期': '2025-12-26', '当前价': 36.95, '涨幅(%)': '8.29%', '形态综合评分': '★★★★'}","{'红色挤压天数': '14天', '绿色杂质天数': '0天', '回溯总长度': '18天', '区间涨跌幅(%)': '-1.1%', '能量池累加值': np.float64(-74.1921), '单日平均动能': np.float64(-4.1218)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-12-01', '边界点状态': '前序多头释放终点 (Confirmed)'}",【极强形态】属于高位横盘后二次起爆，胜率较高
"{'代码': '002496', '分析日期': '2025-12-26', '当前价': 1.78, '涨幅(%)': '0.56%', '形态综合评分': '★★★'}","{'红色挤压天数': '7天', '绿色杂质天数': '1天', '回溯总长度': '20天', '区间涨跌幅(%)': '-0.56%', '能量池累加值': np.float64(-1.8475), '单日平均动能': np.float64(-0.0924)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-11-27', '边界点状态': '前序多头释放终点 (Confirmed)'}",【标准形态】回踩洗盘后的正常转势信号
"{'代码': '002652', '分析日期': '2025-12-26', '当前价': 4.42, '涨幅(%)': '9.95%', '形态综合评分': '★★★'}","{'红色挤压天数': '17天', '绿色杂质天数': '0天', '回溯总长度': '25天', '区间涨跌幅(%)': '5.24%', '能量池累加值': np.float64(-3.8438), '单日平均动能': np.float64(-0.1538)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-11-20', '边界点状态': '前序多头释放终点 (Confirmed)'}",【标准形态】回踩洗盘后的正常转势信号
"{'代码': '002763', '分析日期': '2025-12-26', '当前价': 8.68, '涨幅(%)': '10.01%', '形态综合评分': '★★★'}","{'红色挤压天数': '15天', '绿色杂质天数': '0天', '回溯总长度': '23天', '区间涨跌幅(%)': '7.35%', '能量池累加值': np.float64(-4.7678), '单日平均动能': np.float64(-0.2073)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-11-24', '边界点状态': '前序多头释放终点 (Confirmed)'}",【标准形态】回踩洗盘后的正常转势信号
"{'代码': '003027', '分析日期': '2025-12-26', '当前价': 22.45, '涨幅(%)': '5.25%', '形态综合评分': '★★★'}","{'红色挤压天数': '6天', '绿色杂质天数': '0天', '回溯总长度': '18天', '区间涨跌幅(%)': '-0.56%', '能量池累加值': np.float64(-33.7746), '单日平均动能': np.float64(-1.8764)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-12-01', '边界点状态': '前序多头释放终点 (Confirmed)'}",【标准形态】回踩洗盘后的正常转势信号
"{'代码': '600433', '分析日期': '2025-12-26', '当前价': 3.31, '涨幅(%)': '-1.49%', '形态综合评分': '★★★'}","{'红色挤压天数': '8天', '绿色杂质天数': '1天', '回溯总长度': '24天', '区间涨跌幅(%)': '6.67%', '能量池累加值': np.float64(-2.0288), '单日平均动能': np.float64(-0.0845)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-11-21', '边界点状态': '前序多头释放终点 (Confirmed)'}",【标准形态】回踩洗盘后的正常转势信号
"{'代码': '603012', '分析日期': '2025-12-26', '当前价': 6.01, '涨幅(%)': '2.04%', '形态综合评分': '★★★'}","{'红色挤压天数': '7天', '绿色杂质天数': '0天', '回溯总长度': '25天', '区间涨跌幅(%)': '-2.16%', '能量池累加值': np.float64(-3.7691), '单日平均动能': np.float64(-0.1508)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-11-20', '边界点状态': '前序多头释放终点 (Confirmed)'}",【标准形态】回踩洗盘后的正常转势信号
"{'代码': '603819', '分析日期': '2025-12-26', '当前价': 12.43, '涨幅(%)': '5.7%', '形态综合评分': '★★★'}","{'红色挤压天数': '10天', '绿色杂质天数': '0天', '回溯总长度': '24天', '区间涨跌幅(%)': '6.72%', '能量池累加值': np.float64(-9.4096), '单日平均动能': np.float64(-0.3921)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-11-21', '边界点状态': '前序多头释放终点 (Confirmed)'}",【标准形态】回踩洗盘后的正常转势信号
"{'代码': '603876', '分析日期': '2025-12-26', '当前价': 14.33, '涨幅(%)': '4.52%', '形态综合评分': '★★★★'}","{'红色挤压天数': '21天', '绿色杂质天数': '1天', '回溯总长度': '22天', '区间涨跌幅(%)': '0.81%', '能量池累加值': np.float64(-19.2309), '单日平均动能': np.float64(-0.8741)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-11-25', '边界点状态': '前序多头释放终点 (Confirmed)'}",【极强形态】属于高位横盘后二次起爆，胜率较高
"{'代码': '603966', '分析日期': '2025-12-26', '当前价': 11.42, '涨幅(%)': '-1.13%', '形态综合评分': '★★'}","{'红色挤压天数': '7天', '绿色杂质天数': '1天', '回溯总长度': '19天', '区间涨跌幅(%)': '2.94%', '能量池累加值': np.float64(-8.7868), '单日平均动能': np.float64(-0.4625)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-11-28', '边界点状态': '前序多头释放终点 (Confirmed)'}",【标准形态】回踩洗盘后的正常转势信号
"{'代码': '605003', '分析日期': '2025-12-26', '当前价': 29.6, '涨幅(%)': '3.39%', '形态综合评分': '★★★'}","{'红色挤压天数': '14天', '绿色杂质天数': '1天', '回溯总长度': '20天', '区间涨跌幅(%)': '9.36%', '能量池累加值': np.float64(-36.9366), '单日平均动能': np.float64(-1.8468)}","{'今日状态': '亮绿动能释放 (Lime OFF)', '边界点日期': '2025-11-27', '边界点状态': '前序多头释放终点 (Confirmed)'}",【标准形态】回踩洗盘后的正常转势信号
