日期,代码,名称,当前价,涨幅(%),突破趋势,突破得分,前1日,前2日,前3日,前4日,前5日,前6日,SQZ释放评分,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-11-03,000608,*ST阳光,2.2,2.8,低-低-低,3,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,3.0,1.92,2.14,2.05,1.65,-20.53,19.72,19.6,16.89
2025-11-03,000892,欢瑞世纪,7.85,9.94,低-低-高,2,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,4.42,6.88,6.74,5.17,-147.22,68.77,49.83,115.03
2025-11-03,001266,宏英智能,33.65,10.0,低-低-低,3,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,红|暗,4.8,25.97,31.8,28.0,4.81,187.59,30.52,17.06,29.4
2025-11-03,002211,ST宏达,3.96,4.21,低-低-低,3,绿|亮,绿|亮,绿|亮,红|暗,红|暗,红|暗,7.5,3.33,3.8,3.6,1.23,-98.95,14.06,14.06,-8.19
2025-11-03,002247,聚力文化,3.15,5.7,低-低-低,3,绿|亮,绿|暗,绿|亮,绿|亮,绿|亮,绿|亮,3.1,2.67,3.01,2.82,1.88,43.74,24.59,18.6,13.33
2025-11-03,002486,嘉麟杰,3.23,6.95,低-低-低,3,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,2.51,3.05,2.91,2.54,37.45,25.96,25.84,28.57
2025-11-03,002492,恒基达鑫,9.35,10.0,低-低-低,3,绿|亮,绿|亮,绿|亮,红|暗,红|亮,红|亮,6.9,6.11,8.71,8.06,4.33,47.0,33.09,32.5,70.56
2025-11-03,600288,大恒科技,16.97,6.66,高-高-高,0,绿|亮,绿|亮,绿|暗,绿|暗,绿|亮,绿|暗,3.7,10.74,14.52,14.72,2.08,72.2,66.18,66.18,77.4
2025-11-03,600300,维维股份,3.62,1.12,低-低-低,3,绿|亮,绿|亮,绿|暗,绿|亮,绿|亮,绿|亮,2.9,3.39,3.59,3.45,2.15,18.35,59.03,59.03,18.12
2025-11-03,600829,人民同泰,8.99,3.93,低-低-低,3,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,7.86,8.81,8.11,5.82,46.61,69.53,69.53,59.87
2025-11-03,601888,中国中免,76.67,0.79,低-低-高,2,绿|亮,绿|亮,红|暗,红|暗,红|暗,红|暗,11.1,63.74,74.29,71.81,5.16,46.93,1909.56,1802.13,40.47
2025-11-03,603169,兰石重装,9.58,9.99,低-高-高,1,绿|亮,绿|亮,红|亮,红|亮,红|亮,红|亮,9.1,7.38,8.67,8.75,4.78,929.28,138.73,138.73,94.86
2025-11-03,603188,亚邦股份,4.84,10.0,低-低-低,3,绿|亮,绿|暗,绿|暗,绿|亮,绿|亮,绿|亮,3.9,4.05,4.72,4.29,1.73,95.33,26.23,26.23,32.56
2025-11-03,603231,索宝蛋白,20.65,1.77,低-低-低,3,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,16.84,20.4,19.07,1.43,18.11,35.42,19.66,15.12
2025-11-03,603311,金海高科,12.88,6.18,低-低-低,3,绿|亮,绿|亮,绿|暗,绿|亮,绿|亮,绿|亮,2.9,10.7,12.25,11.57,10.17,36.76,37.53,37.53,61.2
2025-11-03,603580,*ST艾艾,16.15,3.86,低-低-高,2,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|暗,2.3,15.72,15.2,15.03,0.55,114.75,20.35,20.35,-10.72
2025-11-03,603681,永冠新材,18.8,3.58,高-高-高,0,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,14.78,17.33,17.17,4.3,24.86,36.98,36.98,51.88
2025-11-03,603978,深圳新星,28.14,5.99,高-高-高,0,绿|亮,红|暗,红|暗,红|暗,红|暗,红|亮,15.4,16.38,18.71,23.45,14.11,-81.2,66.94,66.94,105.78
2025-11-03,605100,华丰股份,34.79,9.99,低-低-高,2,绿|亮,红|暗,红|亮,红|亮,红|亮,绿|暗,13.1,21.53,30.99,28.62,3.16,426.82,72.66,72.32,189.92
