日期,代码,名称,当前价,涨幅(%),前1日,前2日,前3日,前4日,前5日,前6日,SQZ释放评分,SQUEEZE_ADX策略命中,SQUEEZE_RESISTANCE策略命中,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-29,000420,吉林化纤,4.65,9.93,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,"{""ADX"": 33.71, ""+DI"": 42.35, ""-DI"": 10.35}","{""突破趋势"": ""低-低-低"", ""突破得分"": 3, ""EMA200"": 4.05, ""前高"": 4.49}",4.21,10.17,262.66,114.34,114.3,28.81
2025-12-29,000538,云南白药,56.69,-0.02,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,,,55.93,0.34,15.88,1011.5,1005.0,-1.84
2025-12-29,000655,金岭矿业,9.59,0.0,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,,,9.06,1.7,19.42,57.09,57.09,61.45
2025-12-29,000700,模塑科技,12.63,10.02,绿|亮,绿|亮,绿|暗,绿|暗,绿|亮,绿|暗,3.7,"{""ADX"": 29.6, ""+DI"": 40.71, ""-DI"": 13.12}","{""突破趋势"": ""低-低-低"", ""突破得分"": 3, ""EMA200"": 8.74, ""前高"": 11.5}",10.52,12.63,23.18,115.95,115.95,85.74
2025-12-29,000758,中色股份,6.53,0.46,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,,,6.22,3.51,20.27,129.98,129.04,33.54
2025-12-29,000863,三湘印象,6.11,8.53,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,3.0,"{""ADX"": 27.12, ""+DI"": 37.78, ""-DI"": 12.75}","{""突破趋势"": ""高-高-高"", ""突破得分"": 0, ""EMA200"": 3.9, ""前高"": 4.03}",5.09,13.5,733.8,72.14,71.1,57.47
2025-12-29,000887,中鼎股份,22.98,0.09,绿|亮,绿|亮,绿|亮,绿|暗,绿|暗,绿|暗,3.3,,,21.86,2.56,17.36,302.53,302.04,77.86
2025-12-29,000977,浪潮信息,67.62,0.93,绿|亮,绿|亮,绿|亮,绿|暗,绿|暗,绿|暗,3.3,,,63.29,3.57,50.25,992.98,991.87,30.74
2025-12-29,000987,越秀资本,8.4,9.95,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,,,7.6,4.19,10.5,421.44,421.21,24.26
2025-12-29,001203,大中矿业,30.73,-7.36,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,"{""ADX"": 29.23, ""+DI"": 35.7, ""-DI"": 18.87}",,27.31,2.73,59.5,471.12,404.21,263.24
2025-12-29,001309,德明利,240.76,0.74,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,,,217.39,14.56,-1513.08,546.25,387.32,287.88
