日期,代码,名称,现价,涨幅(%),连续挤压天数,前6日,前5日,前4日,前3日,前2日,前1日,前6天突趋势,最近是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-11-04,000895,双汇发展,26.12,0.38,12,绿亮[+0.67],绿亮[+0.60],绿亮[+0.55],绿亮[+0.51],绿亮[+0.46],绿亮[+0.46],低-低-低-低-低-高,否,0.26,17.37,917.1,916.98,7.78
2025-11-04,000973,佛塑科技,8.86,3.38,23,红暗[-0.09],红亮[-0.18],红亮[-0.17],红亮[-0.13],红亮[-0.11],红亮[-0.09],低-低-低-低-低-高,否,6.44,127.1,142.21,142.21,148.73
2025-11-04,002197,证通电子,10.23,2.61,29,绿亮[+0.36],绿亮[+0.33],绿亮[+0.29],绿亮[+0.26],绿亮[+0.20],绿暗[+0.17],高-高-高-高-高-高,否,6.25,-70.7,62.17,54.04,150.5
2025-11-04,002333,罗普斯金,6.15,10.02,16,绿亮[+0.16],绿暗[+0.16],绿暗[+0.17],绿亮[+0.19],绿亮[+0.18],绿亮[+0.17],低-低-低-低-低-低,否,1.06,64.67,37.93,36.67,9.34
2025-11-04,002451,摩恩电气,7.79,10.03,27,绿亮[+0.24],绿亮[+0.22],绿亮[+0.22],绿亮[+0.21],绿亮[+0.20],绿亮[+0.17],低-低-低-低-低-低,否,9.36,474.84,44.64,44.49,61.56
2025-11-04,002496,*ST辉丰,1.73,4.85,12,绿亮[+0.05],绿暗[+0.04],绿暗[+0.04],绿暗[+0.04],绿亮[+0.05],绿亮[+0.04],低-低-低-低-低-低,否,2.19,-644.62,27.74,20.47,-1.08
2025-11-04,002569,*ST步森,10.42,4.83,21,绿亮[+0.28],绿亮[+0.17],绿亮[+0.07],绿暗[+0.03],绿亮[+0.04],绿亮[+0.01],低-低-低-低-低-低,否,2.49,-237.38,17.93,17.42,18.91
2025-11-04,002611,东方精工,21.36,2.2,24,绿亮[+0.12],红暗[-0.36],红暗[-0.64],红暗[-0.69],红亮[-0.72],红亮[-0.63],低-低-低-低-低-高,否,8.66,34.38,233.96,192.62,99.79
2025-11-04,600163,中闽能源,5.74,9.96,25,绿暗[+0.07],绿暗[+0.08],绿暗[+0.10],绿亮[+0.10],绿亮[+0.09],绿亮[+0.06],低-低-低-低-低-低,否,1.33,23.58,103.14,103.14,-9.82
2025-11-04,600241,时代万恒,9.09,2.02,63,绿亮[+0.41],绿亮[+0.35],绿亮[+0.29],绿亮[+0.26],绿亮[+0.22],绿亮[+0.14],低-低-低-低-低-低,否,1.61,1098.28,24.57,24.57,24.81
2025-11-04,600373,中文传媒,11.09,0.91,37,绿亮[+0.04],红亮[-0.04],红亮[-0.04],红亮[-0.02],红亮[-0.01],绿亮[+0.01],低-低-低-低-低-高,否,1.45,23.98,127.72,125.84,-23.13
2025-11-04,600493,凤竹纺织,7.36,0.14,72,绿亮[+0.44],绿亮[+0.40],绿暗[+0.40],绿暗[+0.41],绿亮[+0.42],绿亮[+0.37],高-高-高-高-高-高,否,4.28,95.68,20.07,20.07,44.42
2025-11-04,600608,*ST沪科,4.43,4.98,11,绿亮[+0.12],绿亮[+0.06],绿亮[+0.03],红暗[-0.01],红暗[-0.01],红暗[-0.02],低-低-低-低-低-低,否,0.74,785.0,11.12,10.76,5.63
2025-11-04,600873,梅花生物,11.44,0.62,13,绿亮[+0.26],绿亮[+0.21],绿亮[+0.18],绿亮[+0.15],绿暗[+0.14],绿亮[+0.14],低-低-低-低-低-低,否,0.57,7.04,284.07,284.07,5.41
2025-11-04,603331,百达精工,12.04,0.67,47,绿暗[+0.62],绿亮[+0.62],绿暗[+0.61],绿暗[+0.61],绿亮[+0.64],绿亮[+0.62],高-高-高-高-高-高,否,9.77,36.17,28.81,28.81,59.57
2025-11-04,603901,永创智能,13.07,2.03,29,绿亮[+0.62],绿亮[+0.56],绿亮[+0.47],绿暗[+0.47],绿暗[+0.54],绿暗[+0.59],高-高-高-高-高-高,否,2.25,41.8,70.65,69.17,92.93
2025-11-04,603917,合力科技,16.61,2.98,108,绿亮[+0.95],绿亮[+0.86],绿亮[+0.77],绿暗[+0.73],绿暗[+0.78],绿亮[+0.86],高-低-高-高-高-高,否,6.18,91.72,30.15,30.15,27.5
