日期,代码,名称,现价,涨幅(%),连续挤压天数,前6天柱状图,前6天突趋势,最近是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-11-06,000430,*ST张股,8.47,2.29,29,绿亮[+0.14]-红暗[-0.01]-红暗[-0.09]-红暗[-0.12]-红暗[-0.15]-红暗[-0.16],低-低-低-低-低-低,否,3.62,-210.39,62.83,28.76,43.97
2025-11-06,000533,顺钠股份,8.73,9.95,18,绿亮[+0.01]-红亮[-0.10]-红亮[-0.08]-红亮[-0.07]-红亮[-0.03]-绿暗[+0.03],低-低-低-低-低-低,否,6.16,53.6,57.54,57.05,37.46
2025-11-06,000762,西藏矿业,28.5,6.74,9,绿亮[+1.06]-绿暗[+0.86]-绿亮[+0.87]-绿亮[+0.86]-绿亮[+0.79]-绿暗[+0.61],高-高-高-高-高-高,否,3.09,-1421.77,136.82,136.81,22.47
2025-11-06,002136,安 纳 达,12.92,7.13,44,绿亮[+0.49]-绿亮[+0.46]-绿亮[+0.45]-绿亮[+0.44]-绿暗[+0.43]-绿暗[+0.49],低-低-低-低-低-高,否,8.13,-42.22,26.1,26.03,24.51
2025-11-06,002150,通润装备,23.5,3.25,7,绿亮[+1.05]-绿亮[+0.34]-绿亮[+0.12]-红暗[-0.01]-红暗[-0.03]-红亮[-0.33],低-低-低-低-低-高,否,2.96,39.79,72.53,72.07,63.41
2025-11-06,002166,莱茵生物,8.08,0.37,26,绿亮[+0.16]-绿亮[+0.14]-绿亮[+0.13]-绿亮[+0.11]-绿暗[+0.08]-绿暗[+0.12],低-低-高-高-低-低,否,2.16,66.77,62.67,62.52,14.65
2025-11-06,002170,芭田股份,12.42,10.01,35,绿亮[+0.16]-绿暗[+0.11]-绿暗[+0.15]-绿亮[+0.17]-绿暗[+0.16]-绿亮[+0.18],低-低-低-低-低-低,是,2.77,12.87,117.86,95.56,46.92
2025-11-06,002284,亚太股份,13.82,0.22,19,绿亮[+0.70]-绿亮[+0.66]-绿亮[+0.58]-绿亮[+0.49]-绿亮[+0.36]-绿亮[+0.27],高-高-高-高-高-高,否,2.87,25.2,110.35,109.17,94.15
2025-11-06,002466,天齐锂业,55.14,1.6,41,绿亮[+3.43]-绿亮[+2.97]-绿亮[+2.94]-绿亮[+2.69]-绿亮[+2.41]-绿亮[+1.61],高-高-高-高-高-高,否,3.07,378.92,908.89,817.31,67.82
2025-11-06,002498,汉缆股份,4.05,1.5,61,绿亮[+0.10]-绿亮[+0.08]-绿亮[+0.07]-绿暗[+0.06]-绿暗[+0.07]-绿亮[+0.07],高-高-高-高-高-高,否,1.18,20.17,127.42,127.42,14.33
2025-11-06,002868,*ST绿康,30.25,5.0,15,绿亮[+1.14]-绿亮[+1.06]-绿亮[+0.95]-绿暗[+0.94]-绿暗[+0.95]-绿亮[+0.99],低-低-低-低-低-低,否,1.03,-47.58,52.39,51.93,68.8
2025-11-06,600218,全柴动力,10.85,10.04,6,绿亮[+0.32]-绿亮[+0.25]-绿亮[+0.19]-绿亮[+0.12]-绿亮[+0.04]-红暗[-0.06],低-低-低-低-低-低,否,3.8,48.4,44.78,44.78,31.12
2025-11-06,600483,福能股份,10.68,1.33,18,绿亮[+0.25]-绿亮[+0.19]-绿亮[+0.12]-绿亮[+0.08]-绿亮[+0.07]-绿亮[+0.05],低-低-低-高-高-高,否,0.39,9.93,263.28,263.28,-1.25
2025-11-06,600966,博汇纸业,5.74,9.96,54,绿亮[+0.07]-绿亮[+0.05]-绿亮[+0.02]-绿暗[+0.01]-绿暗[+0.03]-绿暗[+0.04],低-低-低-低-低-低,否,2.29,56.38,91.31,91.31,33.14
2025-11-06,601369,陕鼓动力,9.15,2.46,14,绿亮[+0.19]-绿亮[+0.17]-绿亮[+0.15]-绿暗[+0.15]-绿暗[+0.16]-绿亮[+0.16],低-低-低-低-低-高,否,0.7,20.95,172.52,170.79,21.04
2025-11-06,603516,淳中科技,226.93,10.0,17,绿亮[+11.09]-绿亮[+3.91]-红暗[-0.52]-红暗[-4.86]-红暗[-6.49]-红暗[-8.25],高-高-高-高-高-高,是,2.61,-1165.34,454.3,454.3,306.14
2025-11-06,603610,麒盛科技,19.76,0.41,28,红暗[-0.09]-红暗[-0.53]-红暗[-0.82]-红亮[-0.95]-红亮[-0.93]-红亮[-0.78],低-低-低-低-低-高,否,1.95,34.31,67.24,67.24,52.28
2025-11-06,605001,威奥股份,8.34,0.97,37,绿亮[+0.35]-绿亮[+0.33]-绿亮[+0.33]-绿暗[+0.32]-绿亮[+0.34]-绿暗[+0.33],低-高-高-高-高-高,否,2.21,35.81,29.98,29.98,20.73
