日期,代码,名称,现价,涨幅(%),挤压天数,绿色动能,动能情况,突破趋势,是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-11-07,000510,新金路,6.39,4.93,15,6,绿亮[+0.21]-绿亮[+0.15]-绿亮[+0.07]-绿亮[+0.04]-绿暗[+0.01]-绿暗[+0.03],低-低-低-高-高-高,否,12.44,-71.76,75.1,70.25,221.67
2025-11-07,000514,渝 开 发,6.39,9.98,29,0,红暗[-0.08]-红暗[-0.17]-红亮[-0.17]-红亮[-0.16]-红亮[-0.15]-红亮[-0.14],低-低-低-低-低-低,否,1.7,19.3,41.51,41.51,19.71
2025-11-07,000902,新洋丰,16.14,2.93,9,6,绿亮[+0.55]-绿暗[+0.47]-绿暗[+0.53]-绿暗[+0.59]-绿暗[+0.60]-绿暗[+0.64],低-低-低-低-低-低,否,0.34,10.7,195.99,178.5,22.61
2025-11-07,000912,泸天化,4.87,9.93,15,6,绿亮[+0.05]-绿暗[+0.05]-绿暗[+0.06]-绿亮[+0.07]-绿暗[+0.07]-绿暗[+0.09],低-低-低-低-低-低,否,0.67,2654.54,65.07,65.07,-5.25
2025-11-07,002001,新 和 成,25.67,4.9,35,3,绿亮[+0.30]-绿亮[+0.08]-绿亮[+0.06]-红暗[-0.00]-红暗[-0.11]-红暗[-0.21],低-低-低-低-低-低,否,0.49,10.91,774.19,764.99,19.55
2025-11-07,002176,江特电机,11.76,5.09,21,6,绿亮[+0.66]-绿亮[+0.54]-绿亮[+0.47]-绿亮[+0.44]-绿亮[+0.36]-绿亮[+0.20],高-高-高-高-高-高,否,2.71,-110.39,166.2,166.17,31.44
2025-11-07,002326,永太科技,21.07,10.03,24,6,绿亮[+1.05]-绿亮[+0.84]-绿亮[+0.74]-绿亮[+0.61]-绿亮[+0.49]-绿亮[+0.18],高-高-高-高-高-高,是,6.23,531.14,230.54,201.39,178.75
2025-11-07,002470,金正大,2.0,2.56,11,6,绿亮[+0.09]-绿亮[+0.07]-绿亮[+0.06]-绿亮[+0.05]-绿亮[+0.04]-绿亮[+0.03],低-低-低-低-低-低,否,1.77,-148.83,58.49,58.49,-9.18
2025-11-07,002493,荣盛石化,10.8,4.75,35,6,绿亮[+0.33]-绿暗[+0.26]-绿暗[+0.30]-绿亮[+0.31]-绿亮[+0.23]-绿亮[+0.21],低-低-高-低-低-低,否,0.64,98.75,1169.76,1096.31,30.69
2025-11-07,002518,科士达,53.6,9.99,35,6,绿亮[+2.66]-绿亮[+1.53]-绿亮[+1.15]-绿亮[+0.90]-绿亮[+0.63]-绿亮[+0.56],高-高-高-高-高-高,是,1.79,47.52,282.5,274.21,117.58
2025-11-07,002533,金杯电工,13.99,1.3,9,6,绿亮[+0.57]-绿亮[+0.43]-绿暗[+0.31]-绿暗[+0.33]-绿暗[+0.34]-绿亮[+0.35],高-高-高-高-高-高,否,1.53,14.8,91.6,79.58,30.14
2025-11-07,002768,国恩股份,58.88,9.99,39,6,绿亮[+2.67]-绿亮[+2.30]-绿暗[+2.30]-绿亮[+2.45]-绿亮[+2.36]-绿亮[+2.28],低-低-低-低-低-高,是,1.35,17.42,142.89,93.11,131.05
