日期,代码,名称,现价,涨幅(%),挤压天数,绿色动能,动能情况,突破趋势,是否放量,是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2026-01-07,002462,嘉事堂,19.12,10.01,27,1,红亮[-0.09]-红亮[-0.19]-红亮[-0.30]-红亮[-0.45]-红暗[-0.34]-绿亮[+0.01],低-低-低-低-低-高,是,是,7.23,29.6,55.77,55.73,33.15
2026-01-07,603037,凯众股份,15.86,9.99,16,6,绿暗[+0.21]-绿亮[+0.25]-绿亮[+0.43]-绿亮[+0.53]-绿亮[+0.59]-绿亮[+0.61],低-低-低-低-低-低,否,是,14.31,54.61,42.44,42.21,9.68
2026-01-07,603052,可川科技,40.41,9.99,21,6,绿暗[+1.13]-绿暗[+1.02]-绿暗[+0.73]-绿暗[+0.38]-绿亮[+0.49]-绿亮[+1.04],低-低-低-低-低-低,否,是,10.38,228.65,75.93,75.93,28.08
2026-01-07,600135,乐凯胶片,11.56,9.99,9,6,绿暗[+0.54]-绿暗[+0.51]-绿暗[+0.51]-绿亮[+0.63]-绿暗[+0.63]-绿亮[+0.72],高-高-高-高-高-高,否,是,16.73,-55.54,63.96,63.96,12.02
2026-01-07,600475,华光环能,20.92,9.99,28,6,绿亮[+0.50]-绿亮[+0.65]-绿亮[+0.65]-绿暗[+0.58]-绿暗[+0.58]-绿亮[+0.65],低-低-低-低-低-低,是,否,4.52,43.56,199.99,197.25,15.13
2026-01-07,002519,银河电子,8.62,9.95,8,1,红亮[-0.04]-红亮[-0.13]-红亮[-0.18]-红暗[-0.16]-红暗[-0.06]-绿亮[+0.13],高-高-高-高-高-高,否,是,1.35,-181.35,97.1,96.44,33.02
2026-01-07,002409,雅克科技,88.63,8.05,18,6,绿暗[+3.48]-绿暗[+3.37]-绿暗[+3.05]-绿暗[+2.88]-绿亮[+3.24]-绿亮[+3.94],低-低-低-低-低-低,是,否,13.73,39.74,421.81,282.31,19.61
2026-01-07,601117,中国化学,8.24,6.32,15,6,绿亮[+0.14]-绿亮[+0.15]-绿暗[+0.12]-绿暗[+0.11]-绿暗[+0.09]-绿亮[+0.12],低-低-低-低-低-低,是,否,4.45,8.92,503.21,501.66,9.43
2026-01-07,002371,北方华创,515.42,6.06,11,6,绿暗[+16.38]-绿暗[+12.53]-绿暗[+8.82]-绿暗[+5.18]-绿亮[+5.22]-绿亮[+6.49],低-低-低-低-高-高,否,否,2.44,54.59,3734.09,3731.11,12.27
2026-01-07,600111,北方稀土,50.5,4.88,26,1,红亮[-0.85]-红暗[-0.78]-红暗[-0.74]-红暗[-0.55]-红暗[-0.27]-绿亮[+0.26],低-低-低-低-低-低,是,否,7.51,88.83,1825.61,1825.61,9.5
2026-01-07,000426,兴业银锡,42.14,4.59,10,5,红亮[-0.22]-绿亮[+0.13]-绿亮[+0.46]-绿亮[+0.53]-绿亮[+1.11]-绿亮[+1.81],低-低-低-低-高-高,否,否,5.56,41.14,748.25,748.07,18.37
2026-01-07,600352,浙江龙盛,11.51,3.41,15,6,绿亮[+0.25]-绿亮[+0.25]-绿亮[+0.27]-绿亮[+0.27]-绿亮[+0.27]-绿亮[+0.34],低-低-低-低-低-低,是,否,1.68,20.1,374.46,374.46,7.97
2026-01-07,000893,亚钾国际,53.18,2.17,10,6,绿暗[+0.72]-绿暗[+0.44]-绿暗[+0.37]-绿亮[+0.45]-绿亮[+0.80]-绿亮[+1.51],低-低-低-低-高-高,否,否,1.54,27.04,491.41,431.72,10.86
2026-01-07,601089,福元医药,28.16,1.84,14,1,红亮[-0.58]-红亮[-0.62]-红暗[-0.62]-红亮[-0.66]-红暗[-0.19]-绿亮[+0.37],低-低-低-低-低-高,是,否,2.58,27.01,135.17,135.17,17.33
2026-01-07,002379,宏创控股,27.8,1.79,8,6,绿暗[+0.85]-绿暗[+0.62]-绿暗[+0.47]-绿暗[+0.37]-绿亮[+0.49]-绿亮[+1.09],低-低-低-低-高-高,否,否,2.49,-139.6,315.91,315.91,16.22
2026-01-07,600460,士兰微,29.64,1.19,20,6,绿暗[+0.14]-绿亮[+0.15]-绿亮[+0.15]-绿亮[+0.19]-绿亮[+0.27]-绿亮[+0.44],低-低-低-低-低-高,是,否,3.49,105.98,493.23,493.23,4.33
2026-01-07,603660,苏州科达,11.35,0.8,22,6,绿亮[+0.17]-绿亮[+0.27]-绿亮[+0.30]-绿亮[+0.40]-绿亮[+0.52]-绿亮[+0.58],高-低-低-高-高-高,否,否,5.11,-13.95,65.35,64.86,2.9
