代码,名称,评估,信号,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文
000893,亚钾国际,观察,观察,48.2,1.28,32.42,33.38,44.4,2.69,强多
601377,兴业证券,红转绿，按照他的过往，一般要回调,观察,7.92,10.0,6.26,7.14,10.92,0.12,强多
600105,永鼎股份,光纤，太高了，不值得冒险,观察,18.29,6.83,9.58,16.68,9.65,1.41,强多
600118,中国卫星,红转绿,观察,51.16,5.9,31.7,46.98,8.9,1.15,强多
000571,新大洲A,不到60亿，技术面不行，随机rsi交叉了,观察,6.7,5.18,4.74,6.2,8.06,0.48,强多
000901,航天科技,红转绿，最近的题材,观察,23.35,9.99,14.3,21.82,7.01,0.35,强多
603668,天马科技,智慧养殖，不到百亿,观察,17.68,8.53,13.58,16.68,6.0,0.99,强多
603698,航天工程,同上,观察,23.67,9.99,17.9,22.56,4.92,1.18,强多
301306,西测测试,创业板，市值太小了，风险大,观察,66.65,0.53,49.89,64.37,3.54,2.66,强多
603023,威帝股份,红转绿，积压时间很长,观察,4.95,10.0,3.79,4.81,2.91,0.08,强多
002164,宁波东力,可以入手，不到百亿，底仓,买入,14.75,7.82,10.42,14.39,2.5,0.81,强多
001311,多利科技,买入，技术面还行,买入,28.2,1.69,22.55,27.58,2.25,0.81,强多
601601,中国太保,动能柱很小，感觉刚开始，应该不会张很块,观察,38.32,1.89,34.6,38.3,0.05,0.28,强多
