代码,名称,信号,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文
600802,福建水泥,买入,8.93,5.56,5.24,5.7,56.67,0.24,强多
000893,亚钾国际,买入,47.97,0.8,32.42,33.38,43.71,2.65,强多
000571,新大洲A,买入,7.01,10.05,4.74,6.2,13.06,0.53,强多
601058,赛轮轮胎,买入,17.28,0.41,13.78,15.44,11.92,0.32,强多
601377,兴业证券,买入,7.92,10.0,6.26,7.14,10.92,0.12,强多
600105,永鼎股份,买入,18.28,6.78,9.58,16.68,9.59,1.41,强多
600118,中国卫星,买入,51.0,5.57,31.7,46.98,8.56,1.12,强多
000901,航天科技,买入,23.35,9.99,14.3,21.82,7.01,0.35,强多
603668,天马科技,买入,17.76,9.02,13.58,16.68,6.47,1.0,强多
603698,航天工程,买入,23.67,9.99,17.9,22.56,4.92,1.18,强多
001311,多利科技,买入,28.49,2.74,22.55,27.58,3.3,0.87,强多
002164,宁波东力,买入,14.65,7.09,10.42,14.39,1.81,0.79,强多
601601,中国太保,买入,38.32,1.89,34.6,38.3,0.05,0.28,强多
