代码,名称,得分,突破趋势,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文,信号,所有指标综合建议,震荡指标综合建议,移动平均线综合建议,RSI(14),RSI[1],"Stochastic %K (14, 3, 3)",Stoch.D,Stoch.K[1],Stoch.D[1],CCI指标(20),CCI20[1],平均趋向指数ADX(14),ADX+DI,ADX-DI,ADX+DI[1],ADX-DI[1],动量震荡指标(AO),AO[1],AO[2],动量指标(10),Mom[1],"MACD Level (12, 26)",MACD.signal,Rec.Stoch.RSI,Stochastic RSI Fast,Rec.WR,威廉百分比变动(14),Rec.BBPower,牛熊力量(BBP),Rec.UO,终极震荡指标UO,指数移动平均线(10),当前收盘价,简单移动平均线(10),指数移动平均线(20),简单移动平均线(20),指数移动平均线(30),简单移动平均线(30),指数移动平均线(50),简单移动平均线(50),指数移动平均线(100),简单移动平均线(100),指数移动平均线(200),简单移动平均线(200),Rec.Ichimoku,一目均衡表基准线,Rec.VWMA,成交量加权移动平均线 VWMA (20),Rec.HullMA9,船体移动平均线 Hull MA (9)
002725,跃岭股份,3,低-低-低,17.52,9.98,13.44,17.19,1.92,1.28,强多,买入,0.603 (买入),0.2727 (买入),0.9333 (强力买入),71.7535 (卖出),60.5524 (中立),90.1783 (卖出),83.1744 (卖出),77.1683 (中立),71.2367 (中立),259.0458 (卖出),155.8947 (中立),26.2336 (中立),38.5714 (中立),10.0643 (中立),29.6730 (中立),11.9712 (中立),0.5925 (买入),0.1921 (中立),-0.0032 (中立),3.0100 (买入),1.9400 (中立),0.2753 (买入),-0.0228 (中立),0.0000 (中立),100.0000 (中立),0.0000 (中立),0.0000 (卖出),0.0000 (中立),2.5558 (买入),0.0000 (中立),62.9378 (中立),15.6576 (买入),17.52 (中立),15.4530 (买入),15.3158 (买入),14.8800 (买入),15.2440 (买入),15.0230 (买入),15.1443 (买入),15.4232 (买入),14.6709 (买入),14.8755 (买入),13.7098 (买入),13.4428 (买入),0.0000 (中立),15.6250 (中立),1.0000 (中立),15.4104 (买入),1.0000 (中立),16.5228 (买入)
002105,信隆健康,3,低-低-低,8.51,9.95,7.64,7.94,7.18,0.25,强多,买入,0.603 (买入),0.2727 (买入),0.9333 (强力买入),80.7926 (卖出),69.3465 (中立),86.2745 (卖出),73.5625 (卖出),62.9630 (中立),62.1392 (中立),354.6945 (卖出),235.5456 (中立),42.3683 (中立),40.6583 (中立),5.1884 (中立),28.9203 (中立),6.3408 (中立),0.4118 (买入),0.2501 (中立),0.1821 (中立),1.3900 (买入),0.7000 (中立),0.1885 (买入),0.0832 (中立),0.0000 (中立),100.0000 (中立),0.0000 (中立),0.0000 (卖出),0.0000 (中立),1.3120 (买入),0.0000 (中立),60.5093 (中立),7.5812 (买入),8.51 (中立),7.4450 (买入),7.3946 (买入),7.3310 (买入),7.3119 (买入),7.2537 (买入),7.2627 (买入),7.0824 (买入),7.2949 (买入),7.2953 (买入),7.1305 (买入),7.6378 (买入),0.0000 (中立),7.6850 (中立),1.0000 (中立),7.4554 (买入),1.0000 (中立),7.9753 (买入)
002217,合力泰,3,低-低-低,3.78,9.88,2.67,3.67,3.0,0.14,强多,买入,0.603 (买入),0.2727 (买入),0.9333 (强力买入),73.7380 (卖出),62.3142 (中立),94.5736 (卖出),84.8196 (卖出),86.7971 (中立),80.7479 (中立),279.4960 (卖出),163.9664 (中立),17.9487 (中立),35.7218 (中立),11.2540 (中立),25.5808 (中立),13.8034 (中立),0.1312 (买入),0.0774 (中立),0.0409 (中立),0.6100 (买入),0.3500 (中立),0.0617 (买入),0.0047 (中立),0.0000 (中立),100.0000 (中立),0.0000 (中立),0.0000 (卖出),0.0000 (中立),0.4713 (买入),1.0000 (中立),72.8206 (中立),3.3727 (买入),3.78 (中立),3.3020 (买入),3.3009 (买入),3.2490 (买入),3.2815 (买入),3.2680 (买入),3.2520 (买入),3.2450 (买入),3.1022 (买入),3.1472 (买入),2.8067 (买入),2.6721 (买入),0.0000 (中立),3.4000 (中立),1.0000 (中立),3.3730 (买入),1.0000 (中立),3.5645 (买入)
002943,宇晶股份,3,低-低-低,37.35,3.35,28.9,36.8,1.49,0.19,强多,买入,0.5121 (买入),0.0909 (中立),0.9333 (强力买入),66.1690 (中立),62.4002 (中立),80.1468 (卖出),58.8701 (中立),68.7247 (中立),54.5366 (中立),211.8431 (卖出),123.0272 (中立),15.6446 (中立),35.6845 (中立),17.2033 (中立),30.1756 (中立),18.6768 (中立),-0.0256 (卖出),-0.8452 (中立),-1.1161 (中立),5.7000 (买入),4.5200 (中立),0.1179 (买入),-0.3935 (中立),0.0000 (中立),96.7297 (中立),-1.0000 (中立),-6.8213 (卖出),0.0000 (中立),6.4306 (买入),0.0000 (中立),64.1744 (中立),33.9811 (买入),37.35 (中立),33.3720 (买入),33.6642 (买入),33.3335 (买入),33.7627 (买入),33.5403 (买入),33.8488 (买入),34.3912 (买入),32.7710 (买入),33.6541 (买入),29.8855 (买入),28.9033 (买入),0.0000 (中立),34.1850 (中立),1.0000 (中立),34.2907 (买入),1.0000 (中立),35.4556 (买入)
002268,电科网安,3,低-低-低,18.72,0.97,17.18,18.65,0.38,0.54,强多,买入,0.4212 (买入),-0.0909 (中立),0.9333 (强力买入),65.4421 (中立),63.7294 (中立),84.6701 (卖出),74.4082 (卖出),62.1477 (中立),54.6136 (中立),289.9042 (卖出),303.3790 (中立),20.5068 (中立),32.8343 (中立),13.0090 (中立),30.2312 (中立),14.6280 (中立),0.3137 (买入),0.0857 (中立),-0.0520 (中立),1.3700 (买入),1.4600 (中立),0.1735 (买入),0.0056 (中立),0.0000 (中立),100.0000 (中立),-1.0000 (中立),-17.9104 (卖出),0.0000 (中立),2.0462 (买入),0.0000 (中立),57.3085 (中立),17.8732 (买入),18.72 (中立),17.7020 (买入),17.6677 (买入),17.4560 (买入),17.6190 (买入),17.6210 (买入),17.6145 (买入),17.5056 (买入),17.5578 (买入),17.8418 (买入),17.3991 (买入),17.2100 (买入),0.0000 (中立),17.8600 (中立),1.0000 (中立),17.7872 (买入),1.0000 (中立),18.5600 (买入)
002967,广电计量,2,低-低-高,23.28,6.2,18.94,21.72,7.18,1.1,强多,买入,0.603 (买入),0.2727 (买入),0.9333 (强力买入),74.6681 (卖出),66.2288 (中立),87.5688 (卖出),87.9643 (卖出),81.5300 (中立),82.2627 (中立),286.4052 (卖出),242.1080 (中立),24.3711 (中立),38.7540 (中立),8.4049 (中立),30.9919 (中立),10.7886 (中立),0.9456 (买入),0.6222 (中立),0.3975 (中立),2.5300 (买入),1.8400 (中立),0.4560 (买入),0.2074 (中立),0.0000 (中立),100.0000 (中立),0.0000 (中立),-16.9772 (卖出),0.0000 (中立),3.3319 (买入),0.0000 (中立),58.4883 (中立),21.3940 (买入),23.28 (中立),21.1370 (买入),20.9496 (买入),20.6545 (买入),20.7294 (买入),20.6833 (买入),20.4172 (买入),20.3090 (买入),19.8336 (买入),19.7405 (买入),18.9702 (买入),19.0899 (买入),0.0000 (中立),21.6850 (中立),1.0000 (中立),21.1647 (买入),1.0000 (中立),22.2359 (买入)
603668,天马科技,2,低-低-高,17.85,3.0,13.61,16.68,7.01,1.18,强多,买入,0.5576 (买入),0.1818 (买入),0.9333 (强力买入),71.2248 (卖出),68.5294 (中立),84.0295 (卖出),76.1459 (卖出),82.9846 (中立),83.3385 (中立),230.6563 (卖出),206.8482 (中立),24.6906 (中立),39.2700 (中立),11.1924 (中立),38.6286 (中立),12.7100 (中立),1.5891 (买入),1.2446 (中立),0.9786 (中立),3.2200 (买入),2.3100 (中立),0.5633 (买入),0.2931 (中立),0.0000 (中立),91.7622 (中立),-1.0000 (中立),-16.6667 (卖出),0.0000 (中立),3.7046 (买入),0.0000 (中立),59.5029 (中立),16.1963 (买入),17.85 (中立),15.8550 (买入),15.6517 (买入),15.3955 (买入),15.3940 (买入),15.0700 (买入),15.0993 (买入),15.1104 (买入),14.5887 (买入),14.5155 (买入),13.9462 (买入),13.6138 (买入),0.0000 (中立),16.1350 (中立),1.0000 (中立),15.5836 (买入),1.0000 (中立),17.3169 (买入)
600573,惠泉啤酒,1,低-高-高,14.17,10.02,11.76,12.58,12.64,0.45,强多,买入,0.603 (买入),0.2727 (买入),0.9333 (强力买入),75.2377 (卖出),63.5169 (中立),75.1812 (卖出),60.8092 (中立),53.6385 (中立),54.4874 (中立),263.8510 (卖出),158.9990 (中立),36.6327 (中立),33.7870 (中立),6.7381 (中立),26.7760 (中立),8.4071 (中立),0.7904 (买入),0.7117 (中立),0.6249 (中立),2.3500 (买入),1.2400 (中立),0.3496 (买入),0.1892 (中立),0.0000 (中立),77.3839 (中立),0.0000 (中立),0.0000 (卖出),0.0000 (中立),1.5844 (买入),0.0000 (中立),57.9242 (中立),12.7450 (买入),14.17 (中立),12.5660 (买入),12.4123 (买入),12.3115 (买入),12.2488 (买入),12.0860 (买入),12.1030 (买入),11.8806 (买入),11.9783 (买入),12.0092 (买入),11.7038 (买入),11.7973 (买入),0.0000 (中立),12.7850 (中立),1.0000 (中立),12.7918 (买入),1.0000 (中立),13.2067 (买入)
002853,皮阿诺,0,高-高-高,16.24,10.03,13.4,12.74,27.47,0.78,强多,买入,0.6485 (买入),0.3636 (买入),0.9333 (强力买入),79.4887 (卖出),67.0867 (中立),84.6085 (卖出),78.3499 (卖出),69.5121 (中立),72.2931 (中立),239.4128 (卖出),116.2401 (中立),46.5418 (中立),36.5914 (中立),6.2617 (中立),26.2349 (中立),7.6358 (中立),1.2427 (买入),1.1738 (中立),1.1771 (中立),2.5000 (买入),0.6400 (中立),0.5790 (买入),0.4718 (中立),0.0000 (中立),65.0843 (中立),0.0000 (中立),0.0000 (卖出),0.0000 (中立),1.8025 (买入),0.0000 (中立),68.8243 (中立),14.8116 (买入),16.24 (中立),14.6630 (买入),14.3377 (买入),14.2810 (买入),13.9985 (买入),13.8597 (买入),13.5857 (买入),13.1750 (买入),13.2175 (买入),12.9207 (买入),12.8075 (买入),13.3994 (买入),0.0000 (中立),14.5500 (中立),1.0000 (中立),14.3319 (买入),1.0000 (中立),15.2743 (买入)
002752,昇兴股份,0,高-高-高,8.7,9.99,5.7,5.98,45.48,0.64,强多,买入,0.6485 (买入),0.3636 (买入),0.9333 (强力买入),77.2618 (卖出),71.5348 (中立),97.3333 (卖出),79.1111 (卖出),72.6444 (中立),59.8709 (中立),385.4559 (卖出),283.8391 (中立),54.9795 (中立),48.6158 (中立),6.0989 (中立),40.7419 (中立),7.0335 (中立),0.8726 (买入),0.5775 (中立),0.4849 (中立),1.8200 (买入),1.6600 (中立),0.4332 (买入),0.2738 (中立),0.0000 (中立),98.0155 (中立),0.0000 (中立),0.0000 (卖出),0.0000 (中立),3.1570 (买入),1.0000 (中立),70.4904 (中立),7.2705 (买入),8.7 (中立),7.0970 (买入),6.8808 (买入),6.7670 (买入),6.6529 (买入),6.5290 (买入),6.3779 (买入),6.1550 (买入),6.0711 (买入),5.9207 (买入),5.8369 (买入),5.7524 (买入),0.0000 (中立),7.2450 (中立),1.0000 (中立),6.7057 (买入),1.0000 (中立),7.9217 (买入)
