日期,代码,名称,趋势过滤,当前价,涨幅%,ADX信号,止损价
2025-12-12,600237,铜峰电子,满足 (Price>E50>E200 & ADX>20 & DI+>DI-),8.99,10.04,Buy,7.28
2025-12-12,601566,九牧王,满足 (Price>E50>E200 & ADX>20 & DI+>DI-),15.03,10.03,Buy,10.29
2025-12-12,601133,柏诚股份,满足 (Price>E50>E200 & ADX>20 & DI+>DI-),15.0,9.97,Buy,12.32
2025-12-12,002877,智能自控,满足 (Price>E50>E200 & ADX>20 & DI+>DI-),9.8,5.83,Buy,8.19
2025-12-12,000007,全新好,满足 (Price>E50>E200 & ADX>20 & DI+>DI-),10.55,4.56,Buy,8.7
2025-12-12,002569,*ST步森,满足 (Price>E50>E200 & ADX>20 & DI+>DI-),10.95,4.48,Buy,9.55
2025-12-12,600115,中国东航,满足 (Price>E50>E200 & ADX>20 & DI+>DI-),5.13,1.99,Buy,4.65
2025-12-12,603638,艾迪精密,满足 (Price>E50>E200 & ADX>20 & DI+>DI-),19.96,1.47,Buy,18.24
2025-12-12,600938,中国海油,满足 (Price>E50>E200 & ADX>20 & DI+>DI-),28.4,0.67,Buy,27.05
2025-12-12,002285,世联行,满足 (Price>E50>E200 & ADX>20 & DI+>DI-),3.16,-0.94,Buy,3.09
