日期,代码,名称,信号等级,趋势过滤,当前价,涨幅%,StochK,StochD,EMA20,EMA50,EMA200,ADX,DI+,DI-,DI相对强,ADX信号,ATR,止损价,止盈价
2025-12-15,000007,全新好,L1/L2 (强势/浅回调),Level 1: C>E50>E200,11.61,10.05,44.12,28.28,10.09,9.25,7.98,36.14,37.73,14.25,0.65,Buy,0.615,9.39,14.07
2025-12-15,000061,农 产 品,L1/L1 (强势/深回调),Level 1: C>E50>E200,10.15,9.97,33.33,21.64,9.5,9.16,7.94,26.77,31.99,13.91,0.68,Buy,0.444,8.33,11.92
2025-12-15,002889,东方嘉盛,L1/L1 (强势/深回调),Level 1: C>E50>E200,16.6,4.86,32.07,25.46,15.94,15.71,15.44,38.31,29.59,11.95,0.46,Buy,0.645,14.44,19.18
2025-12-15,600301,华锡有色,L1/L1 (强势/深回调),Level 1: C>E50>E200,40.0,4.74,34.72,18.51,36.98,34.31,27.32,30.98,30.83,15.2,0.5,Buy,2.442,32.47,49.77
2025-12-15,002582,好想你,L1/L2 (强势/浅回调),Level 1: C>E50>E200,10.5,3.04,35.77,31.17,10.22,10.11,9.66,26.2,31.67,14.96,0.64,Buy,0.518,8.96,12.57
2025-12-15,603125,常青科技,L1/L2 (强势/浅回调),Level 1: C>E50>E200,18.24,2.18,38.23,28.62,17.58,17.26,16.23,35.98,28.15,10.08,0.5,Buy,0.534,16.73,20.38
2025-12-15,002584,西陇科学,L2/L(1/2) (启动/回调),Level 2: C>E20>E50,9.55,2.14,59.12,33.5,9.01,8.91,8.93,29.23,26.34,16.66,0.33,Buy,0.45,8.21,11.35
2025-12-15,002718,友邦吊顶,L1/L1 (强势/深回调),Level 1: C>E50>E200,29.83,2.12,36.69,20.78,29.1,27.35,21.0,31.68,24.19,14.46,0.31,Buy,1.632,25.25,36.36
2025-12-15,000829,天音控股,L2/L(1/2) (启动/回调),Level 2: C>E20>E50,11.0,2.04,21.88,19.12,10.69,10.43,10.57,35.75,28.82,14.62,0.4,Buy,0.402,9.87,12.61
2025-12-15,603499,翔港科技,L1/L1 (强势/深回调),Level 1: C>E50>E200,20.1,1.93,26.69,15.48,19.63,18.93,18.54,28.69,26.46,16.92,0.33,Buy,0.691,18.02,22.86
2025-12-15,000859,国风新材,L1/L2 (强势/浅回调),Level 1: C>E50>E200,10.17,1.19,40.67,30.01,8.78,7.87,6.97,39.14,36.91,13.18,0.61,Buy,0.908,7.79,13.8
2025-12-15,603556,海兴电力,L1/L2 (强势/浅回调),Level 1: C>E50>E200,34.72,0.81,41.85,28.92,34.23,33.02,30.79,34.49,25.52,14.22,0.33,Buy,1.074,32.09,39.02
2025-12-15,601133,柏诚股份,L1/L2 (强势/浅回调),Level 1: C>E50>E200,14.97,-0.2,54.1,31.54,13.9,13.46,12.61,29.54,34.34,12.66,0.73,Buy,0.699,13.44,17.76
2025-12-15,001296,长江材料,L1/L1 (强势/深回调),Level 1: C>E50>E200,28.07,-1.09,36.2,23.8,26.41,25.16,21.85,32.78,34.01,14.43,0.6,Buy,1.472,24.45,33.96
2025-12-15,000505,京粮控股,L1/L2 (强势/浅回调),Level 1: C>E50>E200,8.07,-1.94,30.21,26.88,7.87,7.45,6.89,40.11,34.37,16.89,0.44,Buy,0.54,6.82,10.23
