代码,名称,得分,突破趋势,当前价,涨幅%,BB值,MA200,前阻力位,突破力度%,BB中文,信号
603679,华体科技,3,低-低-低,19.31,10.03,1.13,14.78,17.83,8.3,强多,买入
001379,腾达科技,3,低-低-低,25.62,10.0,1.6,21.28,25.09,2.11,强多,买入
600391,航发科技,3,低-低-低,31.36,10.0,1.69,26.43,29.75,5.41,强多,买入
002910,庄园牧场,3,低-低-低,13.65,9.99,0.49,9.89,12.92,5.65,强多,买入
002491,通鼎互联,3,低-低-低,7.16,9.98,0.51,5.26,6.89,3.92,强多,买入
002361,神剑股份,3,低-低-低,8.17,9.96,0.55,6.42,7.6,7.5,强多,买入
002946,新乳业,3,低-低-低,18.93,4.13,0.62,17.16,18.48,2.44,强多,买入
600258,首旅酒店,3,低-低-低,17.13,3.01,0.3,14.51,16.82,1.84,强多,买入
600838,上海九百,2,低-低-高,11.09,10.02,0.38,8.56,9.43,17.6,强多,买入
603626,科森科技,2,低-高-低,15.15,10.02,1.09,10.63,14.04,7.91,强多,买入
000419,通程控股,2,低-低-高,7.05,9.98,0.03,5.83,6.28,12.26,强多,买入
600628,新世界,2,低-低-高,9.1,2.36,0.47,7.54,8.14,11.79,强多,买入
600497,驰宏锌锗,2,低-低-高,7.18,2.28,0.39,5.76,6.94,3.46,强多,买入
600827,百联股份,2,低-低-高,9.56,1.81,0.28,9.25,9.35,2.25,强多,买入
600970,中材国际,2,低-低-高,10.26,0.69,0.22,9.09,9.95,3.12,强多,买入
600029,南方航空,1,低-高-高,7.69,1.32,0.29,6.14,7.41,3.78,强多,买入
603199,九华旅游,1,低-高-高,37.33,0.59,0.61,36.34,36.87,1.25,强多,买入
603212,赛伍技术,0,高-高-高,14.65,4.64,0.76,11.28,13.3,10.15,强多,买入
600858,银座股份,0,高-高-高,6.8,3.98,0.48,5.59,6.36,6.92,强多,买入
